Kanton,y2014t1,y2014t2,y2014t3,y2014t4,y2014t5,y2014t6,y2015t1,y2015t2,y2015t3,y2015t4,y2015t5,y2015t6,y2016t1,y2016t2,y2016t3,y2016t4,y2016t5,y2016t6,y2017t1,y2017t2,y2017t3,y2017t4,y2017t5,y2017t6,y2017t7,y2018t1,y2018t2,y2018t3,y2018t4,y2018t5,y2018t6,y2018t7,y2019t1,y2019t2,y2019t3,y2019t4,y2019t5,y2019t6,y2019t7,y2020t1,y2020t2,y2020t3,y2020t4,y2020t5,y2020t6,y2020t7,y2021t1,y2021t2,y2021t3,y2021t4,y2021t5,y2021t6,y2021t7
1,52120,37.9,6.18,144,1533,0.93,55912,40.9,5.88,136,1564,3.49,53449,44.48,5.84,134,1592,3.16,54211,48.3,5.92,135,1708,4.24,44834,51600,49.21,6.12,138,1706,4.55,47572,53105,52.4,6.17,137,1739,7.82,47964,40160,53.56,5.69,120,1791,19.06,52159,40799,51.32,6.1,128,1782,26.04,52888
2,27720,37.3,6.11,142,1502,0.91,29718,38.6,5.81,134,1519,1.49,28454,43.21,5.72,132,1558,2.16,28172,45.76,5.82,133,1657,2.56,37552,26966,46.47,6.04,137,1664,3.15,40826,27701,50.73,6.14,137,1692,5.03,40458,21688,46.9,5.67,123,1710,12.68,42592,21954,45.08,6.06,129,1691,21.1,43986
3,13003,34.1,6.02,140,1496,0.66,14260,35.6,5.79,134,1522,1.7,13629,40.76,5.73,132,1560,1.83,14266,44.03,5.79,133,1654,2.11,38314,12596,46.17,6.03,137,1670,2.72,42101,12994,47.58,6.12,137,1702,5.65,41925,10089,48.08,5.73,123,1747,14.79,46137,10543,46.87,6.18,131,1741,21.63,47633
4,974,52.5,6.26,146,1526,0.65,1122,49.6,5.95,138,1550,0.8,1089,56.38,5.83,135,1586,0.83,1114,59.25,5.97,137,1707,1.53,37694,1020,58.14,6.15,140,1690,1.57,40097,1084,63.84,6.3,142,1731,3.87,41318,854,58.43,5.87,129,1726,10.66,43248,903,58.58,6.27,134,1732,21.26,44884
5,5720,52.2,6.45,150,1562,0.87,6254,54.8,6.18,143,1600,2.3,6085,58.77,6.19,143,1636,2.14,5884,61.27,6.28,144,1747,2.86,49558,5609,61.63,6.56,148,1758,4.15,55473,5893,66.04,6.95,155,1811,6.67,53790,4569,64.3,6.27,135,1836,15.19,58661,4723,62.67,6.69,142,1820,23.08,59331
6,1378,39.8,6.04,141,1485,0.75,1355,48,6.03,140,1546,1.25,1192,51.17,5.73,132,1569,2.18,1211,52.52,5.74,131,1633,3.3,37570,1126,49.82,5.83,131,1628,5.15,39487,1149,55.18,6.02,135,1641,4.7,37241,819,54.7,5.48,117,1683,16.61,41810,887,53.21,6,127,1674,21.31,44037
7,1549,44.1,6.34,148,1548,1.04,1736,47.9,6.01,139,1578,1.61,1529,52.55,6.07,140,1622,1.64,1506,54.52,6.06,139,1714,1.99,43863,1330,54.96,6.42,146,1725,2.41,51990,1360,58.97,6.35,142,1770,5.15,47633,1048,59.83,6.07,131,1816,13.36,55148,1134,57.58,6.45,138,1794,20.9,54341
8,1806,49.1,6.14,143,1495,1.02,1868,52.6,5.99,139,1548,1.18,1683,55.67,5.88,136,1570,1.07,1631,60.33,5.94,136,1653,1.29,37182,1387,61.79,6.15,140,1651,2.02,39588,1514,58.06,6.22,140,1653,3.7,37245,1160,54.22,5.76,125,1665,11.98,40623,1091,55.73,6.23,133,1693,20.44,43497
9,5527,50,6.61,154,1625,0.55,6206,53.6,6.31,146,1670,2.88,6108,58.74,6.3,145,1694,2.72,6161,61.81,6.37,145,1826,3.42,55059,5979,63.59,6.69,152,1837,4.33,62012,6249,65.98,6.74,150,1865,7.09,60737,5102,66.15,6.46,138,1923,17.35,67417,5623,64.52,6.85,145,1901,24.77,67345
10,11409,30.4,5.92,138,1462,0.97,12463,34.1,5.72,133,1494,0.98,11801,37.64,5.67,131,1526,1.08,11740,40.84,5.73,131,1629,1.59,34995,11220,42.08,5.92,134,1632,2.11,37746,11645,44.64,6.02,135,1654,4.32,37377,9436,41.87,5.59,122,1680,11.37,40738,10230,38.79,5.88,125,1657,21.49,41084
